,prec[mm],q_prec,ta[C],td[C],ws[km/h],wd[deg],max_ws[km/h],mslp[hPa]
2009-01-19 00:00:00,0.0,Y,27.4,8.4,16.6,44.0,20.5,1015.2
2009-01-19 00:01:00,0.0,Y,27.8,8.3,16.6,37.0,20.5,1015.2
2009-01-19 00:02:00,0.0,Y,27.8,8.0,13.0,38.0,16.6,1015.3
2009-01-19 00:03:00,0.0,Y,28.1,7.9,9.4,45.0,13.0,1015.2
2009-01-19 00:04:00,0.0,Y,27.7,7.8,9.4,35.0,11.2,1015.3
2009-01-19 00:05:00,0.0,Y,27.9,7.6,9.4,51.0,11.2,1015.3
2009-01-19 00:06:00,, ,,,,,,
2009-01-19 00:07:00,0.0,Y,27.9,7.6,11.2,62.0,13.0,1015.2
2009-01-19 00:08:00,0.0,Y,27.8,7.7,13.0,34.0,16.6,1015.2
2009-01-19 00:09:00,0.0,Y,27.5,7.5,11.2,27.0,14.8,1015.2
2009-01-19 00:10:00,0.0,Y,27.4,7.3,9.4,18.0,11.2,1015.2
2009-01-19 00:11:00,0.0,Y,27.4,7.6,9.4,53.0,13.0,1015.2
2009-01-19 00:12:00,0.0,Y,27.5,8.1,9.4,39.0,22.3,1015.1
2009-01-19 00:13:00,0.0,Y,27.8,7.7,16.6,48.0,22.3,1015.1
2009-01-19 00:14:00,0.0,Y,27.6,7.7,13.0,59.0,14.8,1015.2
2009-01-19 00:15:00,0.0,Y,27.8,8.0,9.4,61.0,14.8,1015.1
2009-01-19 00:16:00,0.0,Y,28.1,7.9,9.4,59.0,13.0,1015.1
2009-01-19 00:17:00,0.0,Y,28.1,7.9,13.0,77.0,16.6,1015.1
2009-01-19 00:18:00,0.0,Y,28.1,8.2,14.8,65.0,16.6,1015.1
2009-01-19 00:19:00,0.0,Y,28.0,7.8,14.8,51.0,20.5,1015.1
2009-01-19 00:20:00,0.0,Y,28.3,7.4,11.2,37.0,14.8,1015.1
2009-01-19 00:21:00,0.0,Y,28.1,7.4,11.2,58.0,16.6,1015.0
2009-01-19 00:22:00,,F,,,,,,
2009-01-19 00:23:00,,F,28.3,7.7,14.8,61.0,20.5,1015.0
2009-01-19 00:24:00,0.0,Y,28.6,7.7,16.6,68.0,22.3,1015.0
2009-01-19 00:25:00,0.0,Y,28.8,7.7,16.6,62.0,22.3,1015.0
2009-01-19 00:26:00,0.0,Y,29.0,7.8,13.0,69.0,14.8,1015.0
2009-01-19 00:27:00,0.0,Y,29.0,8.4,14.8,65.0,20.5,1015.0
2009-01-19 00:28:00,0.0,Y,29.3,7.5,11.2,37.0,13.0,1015.0
2009-01-19 00:29:00,0.0,Y,29.6,7.4,13.0,18.0,14.8,1014.9
2009-01-19 00:30:00,0.0,Y,29.4,7.9,11.2,20.0,14.8,1014.9
2009-01-19 00:31:00,0.0,Y,29.4,7.3,,,,1014.9
2009-01-19 00:32:00,0.0,Y,29.2,7.3,5.4,51.0,7.6,1014.9
