,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,983.7771,31.236488,16.500692,235.18651,1.4139477,-5.1016693,5.296753,344.50012
1,887.9311,21.914648,14.403242,1139.825,2.3275018,-8.261552,8.583288,344.26382
2,786.7375,14.548623,6.0705166,2177.0889,4.7935023,-5.75356,7.4903064,320.196
3,689.08203,5.2879543,0.58109564,3279.3281,6.510924,-0.7377856,6.5530715,276.45126
4,621.7765,0.8767444,-10.824528,4111.199,5.743025,-4.8491235,7.5168223,310.1816
5,542.7618,-6.5569997,-18.139387,5187.7754,8.732774,-4.2415013,9.708715,295.90887
6,488.67285,-12.01294,-23.972996,5999.3887,6.7131433,-5.5223756,8.692846,309.44614
7,428.75137,-19.274048,-29.104107,6986.7,4.67645,-8.707188,9.884155,331.76187
8,385.172,-25.69209,-34.106422,7773.55,6.115347,-8.283123,10.296897,323.5678
9,338.4953,-29.409433,-53.181618,8703.138,13.482798,-4.5836077,14.240801,288.77567
10,289.53882,-35.41528,-60.826736,9805.171,21.739565,-6.0053725,22.553806,285.44232
11,265.8715,-38.572945,-63.886147,10394.615,26.322975,-4.1980577,26.655655,279.0613
12,224.05557,-46.39263,-69.53993,11550.568,34.54437,2.3519354,34.62447,266.10486
13,205.66385,-50.1332,-72.182175,12114.385,39.22939,4.447622,39.480747,263.53168
14,188.78284,-53.62214,-74.84573,12669.122,40.91896,3.7882261,41.093994,264.71075
15,159.06473,-60.72939,-80.44786,13752.09,39.618526,2.7432635,39.713444,266.03897
16,146.00938,-63.91255,-80.44786,14280.598,37.340782,3.167522,37.47497,265.1511
17,123.02438,-68.45894,-80.44786,15317.747,27.5453,-1.2005806,27.571543,272.49542
18,112.92586,-70.45546,-80.44786,15828.325,23.169947,-3.6440537,23.454823,278.9378
19,103.656204,-71.55958,-80.44786,16335.008,19.646492,-4.5516534,20.166887,283.04416
