,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
69,188.78102,-53.614697,-74.85623,12669.602,40.84382,3.8492591,41.024803,264.61615
70,173.2866,-57.121822,-77.52346,13215.577,40.367176,2.5073724,40.444977,266.4457
71,159.06416,-60.71339,-80.44786,13752.638,39.48934,2.8757596,39.59392,265.83487
72,146.0091,-63.897152,-80.44786,14281.187,37.180244,3.301642,37.326553,264.92538
73,134.02505,-66.35496,-80.44786,14802.647,32.525066,1.7881464,32.57418,266.85318
74,123.02441,-68.46881,-80.44786,15318.362,27.442577,-1.16532,27.467312,272.43152
75,112.92637,-70.49017,-80.44786,15828.883,23.095636,-3.6260428,23.37856,278.92267
76,103.65695,-71.6064,-80.44786,16335.461,19.603338,-4.549895,20.124428,283.0669
77,95.148476,-72.23203,-80.44786,16839.846,15.432791,-4.222494,16.000015,285.3019
78,87.3381,-72.65037,-80.44786,17342.908,11.530911,-3.1768212,11.960528,285.40305
79,80.16711,-72.75458,-80.44786,17845.312,8.322936,-1.2938287,8.422909,278.83612
80,73.58427,-71.84879,-80.44786,18348.727,7.651162,-1.8026805,7.860658,283.2576
81,67.54373,-69.38445,-80.44786,18856.363,7.231448,-2.407787,7.6217637,288.4157
82,61.999077,-66.55442,-80.44786,19370.627,2.7242694,-3.1638174,4.175114,319.27008
83,56.908424,-65.57271,-80.44786,19889.664,-1.1108586,-5.755255,5.861526,10.924347
84,52.236095,-64.277145,-80.44786,20411.557,-2.7691922,-5.19985,5.8912673,28.037617
