,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.951,28.342041,12.481869,227.28253,-1.338222,-2.880736,3.2438722,24.77307
1,884.426,18.44273,10.326058,1183.1956,-0.68980706,-3.832605,3.9006708,10.356964
2,789.25354,12.180284,1.3904512,2146.305,-1.7053542,3.7668345,4.135941,155.64262
3,691.15,3.758246,-3.386234,3241.4253,-3.9852102,6.532115,7.6535187,148.60439
4,608.4991,-3.828219,-9.069177,4260.823,-3.7549784,8.272309,9.084783,155.58336
5,543.80695,-9.535791,-10.956647,5138.3945,3.6567469,4.423963,5.740271,219.57239
6,489.3902,-13.18157,-29.29924,5948.155,7.465504,6.804895,10.101651,227.65016
7,429.19647,-20.374016,-34.297585,6933.687,9.519991,5.8603196,11.17988,238.38455
8,385.46735,-26.28833,-49.57709,7720.206,11.137326,10.059652,15.008507,227.90848
9,338.65735,-33.62794,-51.392033,8642.487,17.0187,9.491965,19.488985,240.84103
10,289.60294,-40.84215,-50.054886,9723.648,29.720434,0.81676835,29.732048,268.42352
11,265.90872,-44.383827,-48.37027,10299.67,35.020092,-2.4184554,35.103676,273.95166
12,224.0789,-53.591583,-56.571186,11422.463,41.578724,0.20948422,41.579258,269.71118
13,205.68793,-58.075863,-58.906506,11967.291,46.754032,2.2950814,46.81042,267.18936
14,188.80734,-61.555862,-63.734207,12502.1,42.15039,4.6272173,42.403725,263.73547
15,159.08585,-61.1254,-75.56945,13562.633,24.688515,4.2736964,25.056387,260.1789
16,146.02838,-62.79449,-78.587006,14091.98,26.946342,1.7187529,27.00123,266.3504
17,123.04018,-63.056183,-80.44786,15142.317,19.344744,11.750219,22.633766,238.72488
18,112.94057,-61.489674,-80.44786,15670.838,13.144588,11.685614,17.588364,228.3671
19,103.66943,-61.699142,-80.44786,16201.045,8.603299,7.802044,11.61486,227.79839
