,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,984.6169,31.386017,16.52073,227.57832,1.5490736,-4.721175,4.9688153,341.83472
1,981.0118,30.80246,16.425486,260.0662,1.8583966,-5.731819,6.0255613,342.03604
2,977.3872,30.394562,16.347803,293.60315,1.9753582,-6.154791,6.464015,342.20615
3,973.6085,30.018646,16.272436,328.23868,2.0487897,-6.4192934,6.738313,342.29892
4,969.71484,29.645294,16.197016,364.01654,2.0962985,-6.6088142,6.9333177,342.40112
5,965.7028,29.266113,16.120302,400.9806,2.1311522,-6.7680264,7.0956316,342.52155
6,961.5718,28.87851,16.041584,439.17374,2.1611047,-6.896913,7.227571,342.60193
7,957.3137,28.480438,15.960258,478.64203,2.1823106,-7.0099263,7.3417673,342.70773
8,952.92773,28.070831,15.8758335,519.4341,2.2025533,-7.117867,7.450857,342.80585
9,948.4428,27.652405,15.789028,561.59924,2.2199183,-7.2073607,7.541491,342.8808
10,943.75415,27.215302,15.697813,605.1893,2.231052,-7.291589,7.6252775,342.98715
11,938.9559,26.767456,15.603394,650.2601,2.2452374,-7.3694344,7.7038727,343.05566
12,934.0133,26.305481,15.504826,696.8684,2.2564466,-7.4429684,7.7774887,343.13455
13,928.9224,25.828766,15.401589,745.0734,2.2666965,-7.5075283,7.8422503,343.1997
14,923.67456,25.336212,15.292996,794.9371,2.2774847,-7.5743036,7.909299,343.2647
15,918.29443,24.829987,15.178781,846.52576,2.2904074,-7.637911,7.9739356,343.3074
16,912.72296,24.304657,15.057062,899.909,2.3039126,-7.7017684,8.038983,343.34595
17,906.93536,23.757782,14.9262295,955.1579,2.3207545,-7.7648654,8.10426,343.3597
18,901.0454,23.200195,14.7866335,1012.34906,2.3425767,-7.8307667,8.173651,343.34543
19,894.9494,22.62265,14.634257,1071.562,2.3701162,-7.902079,8.249867,343.30414
20,888.6691,22.028107,14.4662,1132.8807,2.4087527,-7.9788065,8.334474,343.20126
21,882.1956,21.417267,14.277302,1196.3945,2.4620602,-8.06626,8.4336405,343.02628
22,875.527,20.79306,14.059361,1262.1968,2.5378044,-8.169199,8.554313,342.7423
23,868.65125,20.160706,13.797779,1330.3853,2.654244,-8.294487,8.708818,342.25528
24,861.5676,19.533447,13.463689,1401.066,2.8354166,-8.454441,8.917239,341.45978
25,854.2683,18.941925,12.991261,1474.3525,3.141481,-8.668103,9.219811,340.07855
26,846.7472,18.467682,12.17875,1550.3677,3.690599,-8.930028,9.662604,337.5457
27,838.9852,18.20877,10.61712,1629.2451,4.3680935,-8.948839,9.95801,333.98215
