,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,983.7771,31.236488,16.500692,235.18651,1.4139477,-5.1016693,5.296753,344.50012
1,980.20844,30.653221,16.407179,267.65588,1.7072587,-6.1597157,6.3944798,344.4983
2,976.5554,30.2442,16.32955,301.17282,1.8230433,-6.586753,6.8366704,344.51938
3,972.7698,29.869316,16.254217,335.78754,1.8904988,-6.8444605,7.1028466,344.54993
4,968.8851,29.49688,16.178886,371.54376,1.936894,-7.0275054,7.291447,344.5819
5,964.88226,29.118643,16.102097,408.48483,1.9717711,-7.1707826,7.438675,344.61682
6,960.7508,28.731152,16.022991,446.65356,1.9990402,-7.2888308,7.55957,344.6553
7,956.5006,28.333942,15.941222,486.09583,2.0216117,-7.391035,7.6639495,344.69528
8,952.1175,27.925049,15.856292,526.8604,2.041207,-7.480753,7.7555265,344.73114
9,947.6018,27.504389,15.768253,568.9968,2.0577428,-7.5595245,7.835732,344.7667
10,942.94727,27.070879,15.6766615,612.5564,2.0720615,-7.6301255,7.9074926,344.80148
11,938.1593,26.624609,15.581232,657.59467,2.0861418,-7.6947827,7.9734592,344.82614
12,933.2225,26.163902,15.481288,704.16846,2.099405,-7.7551646,8.035099,344.84796
13,928.1372,25.68857,15.376315,752.3368,2.1132905,-7.812456,8.09392,344.8594
14,922.8928,25.19751,15.265515,802.16187,2.1284175,-7.868676,8.152039,344.86032
15,917.4995,24.69157,15.148242,853.71,2.14563,-7.9246407,8.210462,344.84665
16,911.92847,24.168144,15.022957,907.0502,2.1663609,-7.9818687,8.271035,344.8119
17,906.195,23.62887,14.888489,962.25354,2.1921186,-8.041785,8.335528,344.7491
18,900.2903,23.073359,14.742684,1019.39655,2.2250009,-8.106658,8.406704,344.64938
19,894.2036,22.501534,14.582449,1078.5591,2.2683268,-8.178775,8.487684,344.49646
20,887.9311,21.914648,14.403242,1139.825,2.3275018,-8.261552,8.583288,344.26382
21,881.46155,21.314692,14.197568,1203.2832,2.4103131,-8.360356,8.700988,343.9161
22,874.80255,20.708267,13.95265,1269.0278,2.5305254,-8.482465,8.852019,343.3888
23,867.94116,20.106356,13.642764,1337.158,2.7141721,-8.640548,9.057062,342.56436
24,860.86743,19.536781,13.208429,1407.7808,3.013035,-8.85404,9.353263,341.2168
25,853.5786,19.067465,12.492636,1481.0139,3.5147943,-9.130716,9.785295,338.9707
26,846.06757,18.70931,11.376161,1556.9814,4.084314,-9.265131,10.126367,336.22372
27,838.33276,18.387728,9.963405,1635.8109,4.352201,-8.868767,9.879735,333.8581
28,830.3736,18.06368,8.319966,1717.6335,4.450741,-8.156382,9.292571,331.37845
29,822.16437,17.522259,7.362688,1802.5917,4.4419756,-7.641471,8.839831,329.8332
30,813.7078,16.884624,6.737796,1890.8438,4.4472785,-7.179853,8.446939,328.22504
31,804.9947,16.181885,6.3085494,1982.5575,4.500219,-6.7020564,8.074285,326.11523
32,796.0033,15.405497,6.059473,2077.9092,4.6210756,-6.2139354,7.7455487,323.35635
33,786.7375,14.548623,6.0705166,2177.0889,4.7935023,-5.75356,7.4903064,320.196
34,777.1756,13.602195,6.3014245,2280.299,4.994452,-5.3968177,7.3543797,317.21835
35,767.3218,12.597218,6.380762,2387.7437,5.2540507,-5.239506,7.420592,314.9229
36,757.1499,11.61513,6.131382,2499.6375,5.485103,-5.2360497,7.5832515,313.66702
37,746.6623,10.68443,5.630933,2616.2307,5.486799,-5.0719466,7.472649,312.7373
38,735.8448,9.774962,4.650991,2737.7847,5.4275446,-4.427301,7.0075336,309.16708
39,724.69147,8.854121,3.1802862,2864.5618,5.635265,-3.3792017,6.574201,300.90656
40,713.18756,7.7962146,1.9840144,2996.8535,5.958778,-2.3027794,6.3899736,291.09525
41,701.32544,6.579104,1.2793871,3134.9897,6.246358,-1.3942046,6.4011664,282.56012
42,689.08203,5.2879543,0.58109564,3279.3281,6.510924,-0.7377856,6.5530715,276.45126
