,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,984.6834,31.621094,16.489683,226.60449,3.7821019,-4.309467,5.733742,318.72894
1,981.1222,31.055756,16.39061,259.11868,4.3783374,-5.482899,7.0165534,321.39108
2,977.45166,30.629852,16.302835,292.68253,4.5129437,-6.1587195,7.635214,323.76703
3,973.671,30.23703,16.214031,327.34424,4.4773583,-6.697682,8.056406,326.23752
4,969.77655,29.852325,16.120457,363.1468,4.3378477,-7.187505,8.395067,328.8879
5,965.76337,29.465668,16.02067,400.1343,4.1182427,-7.65436,8.691901,331.7186
6,961.6291,29.071777,15.914455,438.3503,3.8396297,-8.088998,8.954029,334.60757
7,957.4074,28.669312,15.803094,477.83942,3.498897,-8.480144,9.17361,337.579
8,952.98865,28.244263,15.686112,518.65,3.1136875,-8.7883835,9.323666,340.49097
9,948.46716,27.802338,15.571622,560.83154,2.7034788,-8.970713,9.36923,343.2289
10,943.8145,27.343018,15.46515,604.43414,2.3148353,-9.016406,9.308815,345.6011
11,939.0178,26.869263,15.3573,649.5124,1.9728827,-8.954582,9.169341,347.57504
12,934.0771,26.384338,15.241405,696.1238,1.6923456,-8.835864,8.996473,349.15738
13,928.98706,25.889069,15.115775,744.32733,1.4803758,-8.699339,8.824399,350.34244
14,923.7392,25.383087,14.98526,794.18646,1.3311762,-8.574272,8.676991,351.17514
15,918.3334,24.866913,14.852774,845.768,1.246079,-8.488453,8.579426,351.6488
16,912.76263,24.33957,14.7145195,899.1415,1.2198834,-8.451685,8.539268,351.78687
17,907.02466,23.803833,14.565424,954.3796,1.2596323,-8.478887,8.571942,351.5499
18,901.1139,23.26001,14.399345,1011.55975,1.3715062,-8.559659,8.66884,350.8969
19,895.0411,22.706635,14.214614,1070.7635,1.5519236,-8.686998,8.824534,349.87103
20,888.74255,22.136902,14.010849,1132.0756,1.7966311,-8.836134,9.016936,348.50687
21,882.2939,21.556976,13.790374,1195.5857,2.0794663,-8.973744,9.211529,346.95325
22,875.62415,20.960632,13.548141,1261.388,2.3600473,-9.052166,9.35476,345.38736
23,868.7196,20.349487,13.272515,1329.5822,2.5947685,-9.030609,9.395995,343.96902
24,861.67236,19.731598,12.971442,1400.2734,2.7640173,-8.891506,9.311213,342.7316
25,854.3716,19.103394,12.625326,1473.5741,2.8763013,-8.664906,9.129825,341.6365
26,846.8504,18.488037,12.158974,1549.6023,2.9852023,-8.436512,8.949087,340.514
27,839.08875,17.905334,11.509685,1628.4841,3.1830955,-8.2646055,8.856399,338.9359
28,831.09375,17.47113,10.331445,1710.357,3.5819073,-8.014932,8.778906,335.91992
29,822.89935,17.078796,8.896591,1795.3662,4.023249,-7.644634,8.63869,332.2429
30,814.4279,16.547302,7.7484703,1883.6646,4.2977595,-7.2539563,8.431525,329.3545
31,805.6873,15.899109,6.937778,1975.4144,4.3854833,-6.9191966,8.191932,327.6329
32,796.6788,15.22818,6.29804,2070.8005,4.4673305,-6.5785637,7.952015,325.8206
33,787.4114,14.499786,5.8516326,2170.0232,4.738275,-6.0861216,7.713114,322.0979
34,777.84094,13.668579,5.7437096,2273.2893,5.1620207,-5.5526934,7.5814815,317.08817
35,767.9778,12.700562,6.0997243,2380.8186,5.52162,-5.113735,7.5258603,312.80368
36,757.785,11.652161,6.1805224,2492.826,5.7568297,-5.0369086,7.6492834,311.18414
37,747.2841,10.706177,5.6826463,2609.5396,5.7287025,-5.0642996,7.6462517,311.4774
38,736.4455,9.8611145,4.5216327,2731.224,5.5014033,-4.418786,7.0562816,308.7718
39,725.27124,9.007843,2.8397064,2858.151,5.550039,-3.1379337,6.3757005,299.48337
40,713.7594,7.9288635,1.8344202,2990.6116,5.8436904,-1.9993966,6.1762695,288.88818
41,701.85864,6.6910706,1.1956553,3128.9316,6.083822,-1.1344607,6.18869,280.56274
42,689.6018,5.369995,0.583133,3273.4597,6.2106586,-0.5828465,6.2379475,275.3613
43,676.9518,4.064911,-0.3997016,3424.5874,5.9617815,-0.5545426,5.987517,275.31415
44,663.88654,2.9693298,-2.5325046,3582.7773,5.2968693,-1.0559077,5.401089,281.27386
45,650.41156,2.1837158,-5.706716,3748.6165,4.80218,-1.9384276,5.178652,291.98175
46,636.5266,1.6710205,-8.921148,3922.8577,4.907769,-3.3770971,5.957431,304.53235
47,622.1774,0.83358765,-10.680817,4106.233,5.4763885,-4.787474,7.273977,311.16003
48,607.3585,-0.41479492,-11.836163,4299.329,6.510738,-5.42995,8.477858,309.8281
49,592.05835,-1.8459778,-13.05789,4502.7754,7.7185287,-5.3408065,9.386155,304.68115
50,576.24615,-3.3575745,-14.523137,4717.377,8.656587,-4.907863,9.951061,299.55112
51,559.9127,-4.9432373,-16.164612,4944.078,9.056506,-4.4306855,10.082226,296.06912
52,543.0202,-6.550659,-18.078686,5183.985,8.888161,-4.1304007,9.801001,294.92468
53,525.57117,-8.212433,-20.150507,5438.3774,8.283677,-4.2550974,9.312634,297.18832
54,507.523,-10.012726,-22.089407,5708.6797,7.549932,-4.823048,8.958977,302.57126
55,488.85495,-11.94574,-23.954659,5996.508,6.9061165,-5.552046,8.861132,308.7969
56,469.53992,-13.966339,-26.075205,6303.767,6.185529,-6.4330792,8.92442,316.12387
57,449.54718,-16.316467,-27.838558,6632.5757,5.263337,-7.615877,9.257662,325.35162
58,428.85422,-19.208572,-29.098507,6985.14,4.4137583,-8.757765,9.807125,333.25272
59,407.42206,-22.473145,-30.589567,7364.043,4.258498,-9.350818,10.274853,335.5148
60,385.22675,-25.655045,-33.952065,7772.8604,5.823958,-8.299476,10.139023,324.94165
61,362.24454,-27.674805,-42.069813,8217.251,9.324323,-6.5472813,11.3934145,305.07547
62,338.51578,-29.429306,-52.60546,8702.92,13.386425,-4.792294,14.218385,289.6972
63,314.17102,-32.393234,-57.545403,9232.81,16.834484,-5.5425825,17.723433,288.2236
64,289.5373,-35.418213,-60.801083,9805.419,21.762823,-5.937071,22.55813,285.25943
65,265.8665,-38.57309,-63.89176,10395.023,26.340115,-4.1465206,26.664495,278.94623
66,244.08049,-42.22615,-67.03591,10977.524,30.339035,-0.8850048,30.35194,271.67087
67,224.05109,-46.379074,-69.54417,11551.117,34.49092,2.4956596,34.581093,265.86145
68,205.66045,-50.14557,-72.167076,12114.945,39.102306,4.5013804,39.36055,263.43314
69,188.77924,-53.61902,-74.85122,12669.682,40.83865,3.8371062,41.018517,264.6324
70,173.28644,-57.12393,-77.51951,13215.653,40.360912,2.4909234,40.437706,266.4684
71,159.06436,-60.712692,-80.44786,13752.71,39.47622,2.8649156,39.58004,265.84915
72,146.0083,-63.894196,-80.44786,14281.266,37.16667,3.302564,37.313114,264.92215
73,134.0253,-66.352554,-80.44786,14802.734,32.510715,1.7978776,32.56039,266.83472
74,123.025085,-68.47041,-80.44786,15318.45,27.432714,-1.1496595,27.456795,272.39978
