,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,984.6169,31.386017,16.52073,227.57832,1.5490736,-4.721175,4.9688153,341.83472
1,888.6691,22.028107,14.4662,1132.8807,2.4087527,-7.9788065,8.334474,343.20126
2,787.32275,14.643707,5.92252,2170.9329,4.7850423,-5.6437206,7.3992033,319.70697
3,689.53455,5.34729,0.5916637,3274.3352,6.1959243,-0.54557925,6.219898,275.03217
4,622.11017,0.8197937,-10.719758,4106.9717,5.4746947,-4.808885,7.286814,311.29556
5,542.9842,-6.546631,-18.0988,5184.571,8.874018,-4.1318073,9.788771,294.96704
6,488.8259,-11.959747,-23.939417,5997.0,6.830043,-5.5356703,8.791651,309.02435
7,428.83954,-19.214615,-29.123652,6985.448,4.454481,-8.702305,9.776119,332.89328
8,385.21933,-25.686691,-34.030457,7773.0073,5.820319,-8.25399,10.099726,324.81033
9,338.51233,-29.401016,-52.866135,8703.041,13.415433,-4.6983843,14.214382,289.3014
10,289.53818,-35.447372,-60.77481,9805.44,21.692354,-6.001438,22.507233,285.46472
11,265.86755,-38.598923,-63.85941,10394.955,26.294363,-4.2054935,26.62855,279.08685
12,224.0521,-46.394287,-69.534294,11550.957,34.485443,2.4509313,34.57243,265.93475
13,205.66148,-50.159042,-72.15823,12114.746,39.114227,4.4975224,39.371952,263.4407
14,188.78146,-53.62599,-74.84746,12669.453,40.868744,3.8405697,41.0488,264.6315
15,159.0645,-60.7119,-80.44786,13752.462,39.519817,2.8621264,39.62332,265.85773
16,146.00958,-63.882797,-80.44786,14281.029,37.19307,3.2992618,37.339115,264.93076
17,123.02455,-68.452866,-80.44786,15318.299,27.414738,-1.1387465,27.438377,272.37857
18,112.92598,-70.46776,-80.44786,15828.866,23.05705,-3.5820944,23.333645,278.83075
19,103.65678,-71.58536,-80.44786,16335.499,19.546822,-4.5158014,20.061672,283.0085
