,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
67,224.08069,-53.584282,-56.555733,11422.744,41.418,0.15838629,41.4183,269.78088
68,205.68965,-58.098164,-58.951927,11967.55,46.657852,2.3054898,46.714775,267.17117
69,188.80899,-61.575493,-63.735207,12502.3,42.15626,4.689991,42.416348,263.6518
70,173.31311,-61.86782,-70.80431,13032.285,31.311274,6.278342,31.93452,258.66177
71,159.08777,-61.13056,-75.556595,13562.8,24.74802,4.167642,25.096508,260.4409
72,146.03015,-62.872246,-78.5936,14092.035,27.012896,1.839861,27.07549,266.10355
73,134.04433,-64.27765,-80.44786,14617.3125,24.552963,7.5221343,25.679415,252.96689
74,123.04174,-62.994286,-80.44786,15142.42,19.270502,11.71844,22.5538,238.6961
75,112.94174,-61.48363,-80.44786,15671.018,13.106053,11.527912,17.454575,228.66576
76,103.67035,-61.76967,-80.44786,16201.14,8.691794,7.783569,11.667542,228.15533
77,95.15974,-63.854824,-80.44786,16728.285,6.9142137,4.897081,8.472766,234.69148
78,87.347404,-65.79709,-80.44786,17250.38,6.6912823,5.792055,8.849929,229.12012
79,80.1765,-65.56556,-80.44786,17770.324,5.471474,7.978506,9.674378,214.4414
80,73.5928,-64.99676,-80.44786,18291.275,3.4830182,7.0608764,7.8732233,206.25676
81,67.548065,-65.63035,-80.44786,18812.154,2.5968313,6.647746,7.1369524,201.3375
82,62.00084,-63.705273,-80.44786,19334.672,0.05968734,8.140656,8.140892,180.42012
83,56.90991,-61.767334,-80.44786,19862.033,-3.8428104,6.560611,7.603216,149.64066
84,52.23616,-61.370087,-80.44786,20392.332,-3.9192133,7.119712,8.127151,151.1683
