,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.86523,28.405518,12.60708,227.89325,-2.0528872,-2.6461735,3.3491163,37.80412
1,884.3381,18.45633,10.608709,1184.0566,-0.6425665,-4.2726784,4.320726,8.552597
2,789.16724,12.172089,1.3931981,2147.1807,-1.6723746,3.8619337,4.2084875,156.58542
3,691.076,3.7573242,-3.398177,3242.1528,-3.9834626,6.633671,7.737801,149.01555
4,608.4484,-3.8060608,-9.063046,4261.4297,-3.762303,8.188149,9.011144,155.3221
5,543.7754,-9.545349,-10.879021,5138.8965,3.737567,4.408859,5.7799172,220.28929
6,489.3675,-13.1727295,-29.363853,5948.5776,7.478455,6.8055735,10.111534,227.69705
7,429.184,-20.36853,-34.26306,6933.974,9.490095,5.8591704,11.153107,238.30888
8,385.45886,-26.275146,-49.48546,7720.4414,11.224473,10.035214,15.056372,228.20177
9,338.65454,-33.608612,-51.08306,8642.701,17.249718,9.375564,19.63298,241.47504
10,289.6016,-40.80394,-49.10623,9723.8955,29.86937,0.7141272,29.877905,268.6304
11,265.90903,-44.355682,-48.252438,10299.987,34.793224,-2.4421377,34.878826,274.015
12,224.07964,-53.590668,-56.5595,11422.798,41.385582,0.22156695,41.386173,269.69327
13,205.68797,-58.088364,-58.94339,11967.61,46.645996,2.3666806,46.705997,267.09546
14,188.80711,-61.578293,-63.7263,12502.376,42.195087,4.713844,42.457577,263.6256
15,159.0855,-61.12613,-75.57807,13562.91,24.718029,4.1405087,25.062418,260.4907
16,146.02817,-62.902847,-78.58207,14092.122,27.053596,1.767559,27.111277,266.26187
17,123.04055,-62.9933,-80.44786,15142.443,19.285498,11.736866,22.576193,238.67593
18,112.94087,-61.46544,-80.44786,15671.068,13.104301,11.524867,17.451225,228.66928
19,103.6693,-61.753983,-80.44786,16201.238,8.642588,7.706347,11.579383,228.27753
