,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
69,188.78067,-53.70479,-74.6945,12668.462,41.511066,4.0354104,41.706753,264.44757
70,173.28593,-57.15097,-77.3799,13214.29,41.05011,2.3309293,41.116234,266.7501
71,159.06317,-60.61679,-80.44786,13751.4375,40.59967,3.0003264,40.71038,265.7735
72,146.0082,-63.741196,-80.44786,14280.307,38.46684,3.536478,38.629063,264.74722
73,134.02402,-66.31958,-80.44786,14802.013,33.770027,2.4022887,33.855366,265.93103
74,123.0229,-68.47719,-80.44786,15317.767,28.571852,0.31693143,28.57361,269.36447
75,112.92261,-70.40135,-80.44786,15828.398,24.370058,-1.9226193,24.44578,274.51086
76,103.65035,-71.43518,-80.44786,16335.327,21.163654,-3.7487876,21.493107,280.0448
77,95.14838,-71.7724,-80.44786,16840.516,17.077965,-4.632468,17.695103,285.1765
78,87.34346,-72.0381,-80.44786,17344.91,13.168935,-5.0646386,14.109267,291.03622
79,80.168884,-72.15814,-80.44786,17848.809,10.841114,-3.714764,11.459896,288.91428
80,73.580345,-71.46776,-80.44786,18353.455,8.558309,-2.9732351,9.060064,289.15768
81,67.53877,-70.09642,-80.44786,18860.709,6.4675093,-1.8389872,6.7238793,285.8727
82,61.998257,-68.000916,-80.44786,19372.29,2.8832386,-2.406404,3.7555087,309.849
83,56.910416,-66.2646,-80.44786,19888.643,0.4264684,-3.7524781,3.7766345,353.51617
84,52.237926,-64.60359,-80.44786,20409.242,-1.1536124,-4.105714,4.2647047,15.694158
