,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.8758,28.063477,13.045079,227.16946,-0.9856955,-2.7701917,2.940333,19.586683
1,983.3574,27.49237,12.877735,259.19684,-1.0957856,-3.1964617,3.3790698,18.922333
2,979.6424,27.08966,12.77576,292.2585,-1.1332486,-3.3685737,3.5540879,18.593863
3,975.86017,26.725494,12.690097,326.4058,-1.1514602,-3.4650164,3.6513283,18.382172
4,972.0031,26.369019,12.610216,361.68155,-1.1604592,-3.5275116,3.7134893,18.209854
5,967.9503,25.99881,12.530876,398.12927,-1.1662503,-3.5719016,3.7574754,18.082216
6,963.81537,25.622772,12.452265,435.7922,-1.1685388,-3.6028793,3.7876408,17.969679
7,959.5899,25.239471,12.37336,474.71527,-1.1673272,-3.625665,3.80895,17.846598
8,955.16425,24.838348,12.29185,514.94653,-1.1661571,-3.6418996,3.8240495,17.755363
9,950.6744,24.43106,12.209499,556.5351,-1.1620326,-3.6518223,3.8322482,17.651394
10,945.94775,24.001831,12.123248,599.5332,-1.1566509,-3.6566968,3.835267,17.5527
11,941.17865,23.567902,12.035938,643.9952,-1.150386,-3.6579876,3.8346136,17.457632
12,936.2291,23.116486,11.945116,689.9768,-1.1437092,-3.65482,3.8295927,17.376558
13,931.13245,22.650421,11.851045,737.53784,-1.134515,-3.6488197,3.8211267,17.271858
14,925.8797,22.168701,11.753316,786.74,-1.124427,-3.6397579,3.8094847,17.167439
15,920.4392,21.668152,11.651101,837.64886,-1.1133624,-3.6268206,3.793864,17.065454
16,914.9123,21.15802,11.54571,890.3325,-1.1004534,-3.6102457,3.7742379,16.951954
17,909.1389,20.623352,11.434066,944.8619,-1.0864748,-3.5911996,3.7519517,16.832567
18,903.2146,20.072968,11.317192,1001.31396,-1.069778,-3.567521,3.724464,16.692196
19,897.1092,19.503906,11.19387,1059.7678,-1.0513369,-3.5396228,3.692457,16.542444
20,890.81757,18.915771,11.06306,1120.3063,-1.0309129,-3.506391,3.6547995,16.383846
21,884.3142,18.306305,10.923024,1183.0181,-1.0077618,-3.4682763,3.6117203,16.202047
22,877.6511,17.680817,10.77276,1247.9967,-0.9803367,-3.4219112,3.5595698,15.986376
23,870.76276,17.034058,10.608408,1315.3395,-0.94865346,-3.3674808,3.4985526,15.733067
24,863.66406,16.369202,10.4258,1385.1497,-0.91179705,-3.30073,3.424353,15.442337
25,856.34717,15.689301,10.216147,1457.5391,-0.86878747,-3.217218,3.332459,15.1118765
26,848.8047,15.003693,9.957395,1532.6248,-0.8137545,-3.1058567,3.210692,14.681846
27,841.03046,14.332275,9.614761,1610.5331,-0.7287975,-2.9435303,3.032411,13.906371
28,833.01624,13.749481,9.038655,1691.4073,-0.46569765,-2.708278,2.7480254,9.756789
29,824.7579,13.243256,7.28874,1775.3667,0.014603428,-1.8277048,1.8277631,359.5422
30,816.24243,13.317841,4.721395,1862.6039,-0.72525996,0.22004662,0.7579067,106.878
31,807.49493,13.659363,2.3584638,1953.4204,-1.4520221,2.1411567,2.5870678,145.8569
32,798.4668,13.116882,1.623304,2047.977,-1.540677,3.6093113,3.924387,156.88422
33,789.14935,12.279449,1.2973115,2146.3518,-1.5098321,4.4345016,4.684485,161.19763
34,779.5647,11.348175,1.1110119,2248.7043,-1.6255491,5.0775104,5.3313713,162.2477
35,769.66455,10.474487,0.7850936,2355.2507,-1.9589154,5.7960825,6.118163,161.32617
36,759.4549,9.717102,0.085404776,2466.251,-2.4965117,6.1384287,6.6266794,157.86832
37,748.9197,8.973999,-0.7448505,2581.9797,-3.1860063,5.799912,6.617372,151.21913
38,738.0687,8.189819,-1.4468119,2702.718,-3.9760811,5.274733,6.6054544,142.9911
39,726.86755,7.3086243,-2.0233223,2828.756,-4.44162,5.264047,6.887538,139.84349
40,715.30994,6.269684,-2.5702205,2960.381,-4.2880287,5.830396,7.237452,143.66698
41,703.3798,5.060791,-3.0181835,3097.8823,-3.9251254,6.4772296,7.573712,148.78462
42,691.09515,3.824707,-3.454584,3241.6052,-3.6382983,7.243271,8.105689,153.3296
43,678.3752,2.5523071,-3.8813143,3391.9631,-3.3677607,8.033569,8.710916,157.25603
44,665.2788,1.2371826,-4.286039,3549.407,-3.1437979,8.834474,9.377173,160.4116
45,651.73364,-0.10498047,-4.8335853,3714.4287,-3.0805016,9.513711,10.00001,162.05826
46,637.7718,-1.2428284,-6.1609898,3887.6216,-3.5017982,9.741202,10.351503,160.22734
47,623.3446,-2.292328,-8.288255,4069.661,-3.933103,9.228724,10.031881,156.91724
48,608.4479,-3.5832825,-9.734893,4261.2173,-3.4731193,7.935674,8.662417,156.36298
49,593.0718,-4.974884,-10.242494,4463.0415,-2.1637747,6.223457,6.5888796,160.82843
50,577.18256,-6.5627136,-10.507102,4675.967,-0.52745396,4.518363,4.549045,173.34167
51,560.75415,-8.243622,-10.728588,4900.898,1.5413148,3.9627852,4.2519784,201.25342
52,543.77826,-9.404572,-11.505137,5139.1577,3.7750633,4.3918376,5.791316,220.68115
53,526.23615,-10.230347,-14.844497,5392.3535,5.6160507,5.0706544,7.5664763,227.92155
54,508.10684,-11.560638,-25.122566,5661.6924,6.367546,6.417069,9.040155,224.77806
55,489.3749,-13.452484,-28.56338,5948.463,7.288807,7.607532,10.535713,223.77428
56,469.99582,-15.449921,-27.322464,6254.6396,8.265807,7.273122,11.01008,228.6553
57,449.94254,-17.486343,-27.947805,6582.557,8.729489,7.080323,11.239882,230.95515
58,429.18607,-19.935898,-33.584507,6934.573,9.049909,7.0675325,11.482633,232.01192
59,407.7019,-22.764343,-40.51419,7313.331,9.120759,8.004188,12.134878,228.73048
