,p [hPa],tc [C],td [C],hgt [m],u [m/s],v [m/s],wspd [m/s],wdir [deg]
0,986.8758,28.063477,13.045079,227.16946,-0.9856955,-2.7701917,2.940333,19.586683
1,884.3142,18.306305,10.923024,1183.0181,-1.0077618,-3.4682763,3.6117203,16.202047
2,789.14935,12.279449,1.2973115,2146.3518,-1.5098321,4.4345016,4.684485,161.19763
3,691.09515,3.824707,-3.454584,3241.6052,-3.6382983,7.243271,8.105689,153.3296
4,608.4479,-3.5832825,-9.734893,4261.2173,-3.4731193,7.935674,8.662417,156.36298
5,543.77826,-9.404572,-11.505137,5139.1577,3.7750633,4.3918376,5.791316,220.68115
6,489.3749,-13.452484,-28.56338,5948.463,7.288807,7.607532,10.535713,223.77428
7,429.18607,-19.935898,-33.584507,6934.573,9.049909,7.0675325,11.482633,232.01192
8,385.4601,-26.071213,-46.286045,7722.094,9.670187,8.766047,13.052053,227.80762
9,338.65225,-33.62918,-52.403584,8644.776,14.557068,8.287771,16.750982,240.34586
10,289.5979,-41.176315,-45.816277,9725.178,27.818008,0.053612124,27.81806,269.8896
11,265.9032,-44.432373,-48.326668,10300.753,34.30224,-3.7269452,34.504112,276.20087
12,224.07317,-53.103943,-56.229618,11424.909,41.2004,-1.7684904,41.23834,272.45786
13,205.68187,-57.87416,-59.435303,11970.616,46.557537,0.12258353,46.557697,269.84915
14,188.80112,-61.629623,-63.83503,12505.6,43.841347,1.8308543,43.87956,267.60867
15,159.07947,-61.152588,-75.62678,13565.015,24.48805,5.2929716,25.053545,257.80344
16,146.02151,-61.77733,-79.35537,14095.626,22.099419,2.439918,22.233702,263.6997
17,123.03314,-64.48282,-80.44786,15144.812,18.927546,10.487088,21.638645,241.0107
18,112.93322,-62.937607,-80.44786,15669.759,14.217337,11.84184,18.503023,230.20856
19,103.66322,-62.422195,-80.44786,16197.282,10.20799,8.644186,13.376286,229.74188
